Prefix,θN,e,Dif,Result
по-,209.47,33,176.47,productive
за-,182.27,56,126.27,productive
на-,123.49,46,77.49,productive
про-,114.7,40,74.7,productive
вы-,94.98,38,56.98,productive
о-,81.67,26,55.67,productive
от-,88.1,39,49.1,productive
рас-,58.05,19,39.05,productive
об-,65.23,31,34.23,productive
под-,75.84,43,32.84,productive
у-,74.89,46,28.89,productive
до-,63.27,35,28.27,productive
ис-,34.04,7,27.04,productive
пере-,115.98,90,25.98,productive
вс-,21.2,4,17.2,productive
из-,35.59,19,16.59,productive
раз-,51.87,39,12.87,productive
вз-,26.22,14,12.22,productive
над-,12.4,5,7.4,productive
недо-,17.01,12,5.01,productive
подо-,7.77,3,4.77,productive
изо-,4.59,0,4.59,productive
в-,36.98,34,2.98,productive
вос-,10.65,9,1.65,productive
во-,6.23,6,0.23,productive
воз-,13.54,17,-3.46,unproductive
при-,83.95,88,-4.05,unproductive
с-,89.56,94,-4.44,unproductive
со-,23.4,28,-4.6,unproductive
пре-,12.21,24,-11.79,unproductive
пред-,9.64,32,-22.36,unproductive